Created by Online2PDF.com,,,,,,,,,,
TABEL BUKU INDUK,,,,,,,,,,
Ex JAKARTA - EFEKTIF: 15 APRIL 2013,,,,,,,,,,
Wilayah Kota,,,,,,,,,,
abc,,,,,,,,,,
Coding,,Kabupaten,Kecamatan,City Code,,,OKE,,TARIF YES,Page
,,,,,TARIF,ETD,TARIF,ETD,,
,,,,,,,,,,
BDJ10204,,Hulu Sungai Selatan,Kalumpang,BDJ,53000,5 - 7,45000,6 - 8,-,2
BDJ10205,,Hulu Sungai Selatan,Loksado,BDJ,53000,5 - 7,45000,6 - 8,-,2
BDJ10206,,Hulu Sungai Selatan,Padang Batung,BDJ,53000,5 - 7,45000,6 - 8,-,2
BDJ10207,,Hulu Sungai Selatan,Simpur,BDJ,53000,5 - 7,45000,6 - 8,-,2
BDJ10208,,Hulu Sungai Selatan,Sungai Raya,BDJ,53000,5 - 7,45000,6 - 8,-,2
BDJ10209,,Hulu Sungai Selatan,Telaga Langsat,BDJ,53000,5 - 7,45000,6 - 8,-,2
BDJ10210,,Hulu Sungai Selatan,Daha Barat,BDJ,53000,5 - 7,45000,6 - 8,-,2
BDJ10300,,Baru,Baru,BDJ,42000,3 - 5,36000,5 - 7,-,2
BDJ10302,,Baru,Hampang,BDJ,53000,5 - 7,45000,6 - 8,-,2
BDJ10303,,Baru,Kelumpang Utara,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ10304,,Baru,Kelumpang Tengah,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ10305,,Baru,Kelumpang Hulu,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ10306,,Baru,Kelumpang Selatan,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ10309,,Baru,Pamukan Utara,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ10310,,Baru,Pamukan Selatan,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ10311,,Baru,Pulau Laut Selatan,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ10312,,Baru,Pulau Laut Barat,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ10313,,Baru,Pulau Laut Timur,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ10314,,Baru,Pulau Sembilan,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ10315,,Baru,Pulau Sebuku,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ10316,,Baru,Sampanahan,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ10318,,Baru,Sungai Durian,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ10319,,Baru,Pulau Laut Utara,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ10400,,Tabalong,Tanjung,BDJ,42000,3 - 5,36000,5 - 7,-,3
BDJ10401,,Tabalong,Banua Lawas,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ10402,,Tabalong,Haruai,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ10403,,Tabalong,Jaro,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ10404,,Tabalong,Kelua,BDJ,53000,5 - 7,45000,6 - 8,-,3
BDJ10405,,Tabalong,Muara Harus,BDJ,53000,5 - 7,45000,6 - 8,-,3
